변전소명,회선명,전산화번호,선로명,선로번호,위도,경도,인근주소(참고자료),철거예정전주,구역(4등분)
천왕,진성,9321H911,천왕간,27,37.48086046,126.8534146,광명시 광명동 158-149 BL,,1구역
천왕,진성,9421C021,천왕간,28R2,37.48113578,126.8539661,광명시 광명동 158-1495 W,,1구역
천왕,왕일,9321H225,천왕간,9R3,37.48100832,126.8497929,광명시 광명동 158-1502 W,,1구역
신광명,서광,9421P034,왕일,8R1R1,37.47699068,126.8538612,광명시 광명동 158-1524 W,,2구역
천왕,진성,9321H803,천왕간,23,37.48033062,126.8527876,광명시 광명동 158-155 BL,,1구역
신광명,서광,9421P031,왕일,8R3,37.47706284,126.8543608,광명시 광명동 158-1552 W,철거,2구역
천왕,진성,9321H712,천왕간,22L1,37.48069038,126.8525735,광명시 광명동 158-169 BL,,1구역
천왕,진성,9321H601,천왕간,21,37.48051814,126.8520945,광명시 광명동 158-180 BL,,1구역
천왕,진성,9321H711,천왕간,20,37.48079912,126.8522197,광명시 광명동 158-182 BL,,1구역
천왕,진성,9321H722,천왕간,19,37.48109222,126.8523549,광명시 광명동 158-184 BL,,1구역
천왕,진성,9421P094,천왕간,24R2,37.48002468,126.8538293,광명시 광명동 158-191 BL,,1구역
천왕,진성,9321H804,천왕간,25R1,37.48019352,126.8531432,광명시 광명동 158-199 BL,,1구역
천왕,진성,9321H802,천왕간,24,37.48024197,126.8530968,광명시 광명동 158-199 BL,,1구역
신광명,서목,9321H721,천왕간,17R1,37.48131578,126.8521644,광명시 광명동 158-212 BL,,1구역
신광명,서목,9321H624,천왕간,17R2,37.48102407,126.8520331,광명시 광명동 158-214 BL,,1구역
신광명,서목,9321H611,천왕간,17R3,37.48074334,126.8519032,광명시 광명동 158-217 BL,,1구역
천왕,왕일,9321H621,천왕간,17,37.48139246,126.8520314,광명시 광명동 158-221 BL,,1구역
신광명,서목,9321H622,천왕간,16,37.48134947,126.8517069,광명시 광명동 158-222 BL,,1구역
신광명,서목,9321H623,천왕간,16R1,37.48110714,126.8516036,광명시 광명동 158-229 BL,,1구역
천왕,왕일,9321H522,천왕간,14R1,37.48117143,126.8510231,광명시 광명동 158-230 W,,1구역
천왕,왕일,9321H523,천왕간,14,37.48128198,126.8513631,광명시 광명동 158-231 RI,,1구역
천왕,왕일,9321H521,천왕간,15,37.48133905,126.8514441,광명시 광명동 158-231 RI,,1구역
광명,성도,9421Q043,성도간,26R2,37.47746257,126.8596908,광명시 광명동 158-243 BL,,1구역
광명,성도,9421Q131,성도간,26,37.47724061,126.8603321,광명시 광명동 158-246 BL,,1구역
광명,성도,9421Q031,성도간,26R1,37.47738104,126.8598518,광명시 광명동 158-261 BL,,1구역
광명,성도,9421P941,성도간,26R3,37.47755443,126.8592799,광명시 광명동 158-315 BL,,1구역
광명,성도,9421P741,성도간,46R2,37.47759824,126.8581804,광명시 광명동 158-322 BL,철거,1구역
천왕,왕도,9421P743,성도간,46R3,37.47782731,126.8582897,광명시 광명동 158-387 BL,철거,1구역
광명,성도,9421P731,성도간,46R1,37.47732968,126.8580555,광명시 광명동 158-415 BL,철거,1구역
광명,성도,9421P722,성도간,45,37.47685315,126.8578462,광명시 광명동 158-439 BL,철거,1구역
광명,성도,9421P531,성도간,50,37.47733023,126.8568831,광명시 광명동 158-472 BL,철거,1구역
천왕,왕도,9421P461,성도간,54R4R2,37.47846408,126.8562497,광명시 광명동 158-497 BL,,1구역
천왕,왕도,9421P361,성도간,54R3,37.47860321,126.8559031,광명시 광명동 158-500 BL,,1구역
신광명,서광,9421P363,성도간,54R4,37.47860066,126.8558017,광명시 광명동 158-501 BL,,1구역
천왕,왕도,9421P364,성도간,54R5,37.47863663,126.8556682,광명시 광명동 158-503 BL,,1구역
천왕,왕도,9421P261,성도간,54R6,37.47873551,126.8553410,광명시 광명동 158-507 BL,,1구역
천왕,왕도,9421P152,성도간,57,37.47804636,126.8544249,광명시 광명동 158-523 BL,,1구역
